gender,senior,partner,deps,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,labels,tenure_map
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.85,0,0.0
1,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95,0,2.0
1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.85,1,0.0
1,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.3,0,3.0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,1,0.0
0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.65,1,0.0
1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.1,0,1.0
0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,0,0.0
0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.8,1,2.0
1,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.15,0,5.0
1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95,0,1.0
1,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,1,18.95,0,1.0
1,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,1,100.35,0,4.0
1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,0,103.7,1,4.0
1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,2,105.5,0,2.0
0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,113.25,0,5.0
0,0,0,0,52,1,0,2,0,0,0,0,0,0,1,0,3,20.65,0,4.0
1,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,0,106.7,0,5.0
0,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,1,55.2,1,0.0
0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,2,90.05,0,1.0
1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,39.65,1,0.0
1,0,1,0,12,1,0,2,0,0,0,0,0,0,1,0,0,19.8,0,0.0
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.15,1,0.0
0,0,1,0,58,1,1,0,0,1,0,1,0,0,2,1,1,59.9,0,4.0
1,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,1,59.6,0,4.0
0,0,0,0,30,1,0,0,1,1,0,0,0,0,0,1,0,55.3,0,2.0
1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,2,99.35,1,3.0
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,30.2,1,0.0
1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,1,90.25,0,5.0
0,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,3,64.7,1,1.0
0,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,1,96.35,0,5.0
1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,1,95.5,0,0.0
0,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,3,66.15,0,2.0
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,20.2,0,0.0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,0,0.0
0,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,0,99.9,0,5.0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,1,0.0
0,0,0,0,46,1,0,1,0,0,1,0,0,0,0,1,1,74.8,0,3.0
1,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,2,106.35,1,2.0
0,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,0,97.85,1,0.0
1,0,1,1,10,1,0,0,0,1,0,0,0,0,1,0,3,49.55,0,0.0
0,0,1,1,70,1,1,0,1,1,0,0,1,0,2,1,1,69.2,0,5.0
0,0,1,1,17,1,0,2,0,0,0,0,0,0,1,0,3,20.75,0,1.0
0,0,0,0,63,1,1,0,1,1,1,1,1,0,2,1,1,79.85,0,5.0
